athlete_id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids,headshot_url,season
-1044233,Cooper,Wise,Wyoming,170,69,35,2013,CB,Powell,WY,USA,44.752873,-108.75902,56029,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044233.png,2013
-1044232,Thatcher,Vap,Wyoming,180,67,33,2013,CB,North Platte,NE,USA,41.1238873,-100.7654232,31111,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044232.png,2013
-1044231,Tommy,Thornton,Wyoming,205,73,13,2013,QB,Tempe,AZ,USA,33.4255056,-111.9400125,04013,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044231.png,2013
-1044230,Josh,Teeter,Wyoming,282,75,62,2013,G,Laramie,WY,USA,41.311367,-105.591101,56001,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044230.png,2013
-1044229,Tyler,Strong,Wyoming,312,75,51,2013,G,Longmont,CO,USA,40.1672117,-105.1019287,08013,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044229.png,2013
-1044228,Connor,Riese,Wyoming,295,79,79,2013,OT,Schofield,WI,USA,44.9096907,-89.6045659,55073,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044228.png,2013
-1044227,Albert,Perez,Wyoming,285,73,50,2013,C,Los Angeles,CA,USA,34.0536909,-118.2427666,06037,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044227.png,2013
-1044226,T.J.,Patterson,Wyoming,178,75,14,2013,QB,Boulder,CO,USA,40.0149856,-105.2705456,08013,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044226.png,2013
-1044225,Zaquoya,Parham,Wyoming,181,70,24,2013,CB,Phoenix,AZ,USA,33.4484367,-112.0741417,04013,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044225.png,2013
-1044224,Ruben,Narcisse,Wyoming,214,73,12,2013,LB,Miami,FL,USA,25.7742658,-80.1936589,12086,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044224.png,2013
-1044223,Brayton,Medina,Wyoming,302,77,68,2013,OT,Fountain,CO,USA,38.70437675,-104.71025954018519,08041,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044223.png,2013
-1044222,Walker,Madden,Wyoming,297,81,74,2013,OT,Yucca Valley,CA,USA,34.1234629,-116.4140676,06071,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044222.png,2013
-1044221,Brandon,Lukenbill,Wyoming,224,74,47,2013,LB,Puyallup,WA,USA,47.1849009,-122.2921406,53053,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044221.png,2013
-1044220,Jonathan,Klug,Wyoming,198,74,36,2013,LB,Cody,WY,USA,44.5263107,-109.0563923,56029,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044220.png,2013
-1044219,Jabari,Holland,Wyoming,175,70,26,2013,CB,Denver,CO,USA,39.7392364,-104.9848623,08031,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044219.png,2013
-1044218,B.J.,Hendrix Jr.,Wyoming,188,71,6,2013,?,O'Fallon,IL,USA,38.5922715,-89.9112124,17163,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044218.png,2013
-1044217,Julian,Hawkins,Wyoming,169,68,38,2013,CB,Denver,CO,USA,39.7392364,-104.9848623,08031,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044217.png,2013
-1044216,Colin,Gilbert,Wyoming,184,74,87,2013,WR,Wauwatosa,WI,USA,43.0494122,-88.0079271,55079,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044216.png,2013
-1044215,James,Diamanti,Wyoming,296,76,54,2013,DT,Grand Junction,CO,USA,39.063956,-108.5507317,08077,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044215.png,2013
-1044214,Nico,Brown,Wyoming,212,75,89,2013,WR,Leander,TX,USA,30.5586046,-97.8444364,48491,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044214.png,2013
-1044213,Justin,Bernthaler,Wyoming,260,74,96,2013,DT,Stuttgart,,Germany,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044213.png,2013
-1044212,Zack,Berg,Wyoming,230,74,8,2013,LB,Edmonds,WA,USA,47.8105738,-122.3774952,53061,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044212.png,2013
-1044211,Matt,Barr,Wyoming,180,72,92,2013,PK,Yorba Linda,CA,USA,33.8901096,-117.8249705,06059,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044211.png,2013
-1044210,Sam,Awrabi,Wyoming,232,75,31,2013,DE,Clovis,CA,USA,36.8252277,-119.7029194,06019,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044210.png,2013
-1044209,Ryan,Anaya,Wyoming,255,74,22,2013,LB,Casper,WY,USA,42.866632,-106.313081,56025,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044209.png,2013
-1044207,Jessee,Wilson,Wyoming,245,73,65,2013,G,Cowley,WY,USA,44.883286,-108.469565,56003,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044207.png,2013
-1044206,Austin,Traphagan,Wyoming,272,77,71,2013,OT,Yuma,CO,USA,40.1222084,-102.7252096,08125,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044206.png,2013
-1044204,Josh,Smith,Wyoming,205,75,17,2013,WR,Manchester,NH,USA,42.9956397,-71.4547891,33011,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044204.png,2013
-1044202,Trent,Sewell,Wyoming,196,74,5,2013,WR,Bothell,WA,USA,47.7598697,-122.2068288,53033,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044202.png,2013
-1044201,Jake,Schiffner,Wyoming,181,70,32,2013,?,Calgary,AB,Canada,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044201.png,2013
-1044200,Dominic,Rufran,Wyoming,188,72,33,2013,WR,Colorado Springs,CO,USA,38.8339578,-104.8253485,08041,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044200.png,2013
-1044198,Connor,Rains,Wyoming,309,79,77,2013,OT,Placerville,CA,USA,38.7296252,-120.798546,06017,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044198.png,2013
-1044197,Sonny,Puletasi,Wyoming,251,75,50,2013,DE,Lawton,OK,USA,34.6086854,-98.3903305,40031,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044197.png,2013
-1044196,Oscar,Nevermann,Wyoming,213,73,27,2013,LB,Stockholm,,Sweden,NA,NA,NA,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044196.png,2013
-1044195,Malkaam,Muhammad,Wyoming,228,72,11,2013,LB,St. Joseph,MO,USA,39.7686055,-94.8466322,29021,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044195.png,2013
-1044194,Patrick,Mertens,Wyoming,285,77,95,2013,DT,Sterling,CO,USA,40.6255415,-103.207709,08075,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044194.png,2013
-1044193,Jeff,Lark,Wyoming,213,74,16,2013,LB,Cedar Hill,TX,USA,32.5888072,-96.9553675,48113,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044193.png,2013
-1044191,Luke,Kellum,Wyoming,184,70,37,2013,CB,Lecompton,KS,USA,39.0450538,-95.3949264,20045,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044191.png,2013
-1044190,Jake,Jones,Wyoming,295,75,72,2013,G,Lakewood,CO,USA,39.631108499999996,-105.11005818223015,08059,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044190.png,2013
-1044188,Devyn,Harris,Wyoming,234,75,43,2013,LB,Fountain,CO,USA,38.70437675,-104.71025954018519,08041,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044188.png,2013
-1044187,Sam,Hardy,Wyoming,294,75,52,2013,G,West Hills,CA,USA,34.2032325,-118.645476,06037,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044187.png,2013
-1044185,Zach,D'Amico,Wyoming,275,71,66,2013,C,Casper,WY,USA,42.866632,-106.313081,56025,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044185.png,2013
-1044184,Dan,Crook,Wyoming,272,75,97,2013,DT,Bingham City,UT,USA,40.532747549999996,-112.14047133286297,49035,,https://a.espncdn.com/i/headshots/college-football/players/full/-1044184.png,2013
